Control ID,Control Name,Description,Evidence Required,Owner,Status,Risk
CC6.1,Access Control Policy,"Users must have unique IDs and role-based access controls. Privileged access must be approved and reviewed quarterly.","Access control policy document, user provisioning logs, quarterly access review records",IT Security,Implemented,Unauthorized access
CC6.6,Multi-Factor Authentication,"MFA must be enforced for all remote access and privileged accounts.","MFA configuration screenshots, privileged account list, remote access logs",IT Security,Implemented,Weak authentication
CC6.7,Data Encryption,"Sensitive data must be encrypted at rest (AES-256) and in transit (TLS 1.2+).","Encryption configuration documentation, TLS certificate records, key management policy",Engineering,Implemented,Data breach
CC7.1,Logging and Monitoring,"System and security events must be logged and reviewed. Anomalies must trigger alerts.","SIEM configuration, alert rules, log retention policy, incident escalation runbook",SOC Team,Implemented,Undetected incidents
CC7.2,Incident Response,"A documented incident response plan must exist and be tested annually.","Incident response plan, tabletop exercise records, post-incident reports",Security Lead,In Progress,Undetected incidents
CC8.1,Change Management,"All production changes must follow an approved change management process with peer review.","Change management policy, approved change tickets, deployment logs",Engineering,Implemented,Unauthorised changes
CC9.2,Vendor Risk Management,"Third-party vendors with access to sensitive data must be assessed annually.","Vendor risk assessment records, security questionnaires, contracts with security clauses",Procurement,In Progress,Third-party exposure
A1.1,Availability and Uptime,"System uptime SLAs must be defined and monitored. Recovery time objectives must be documented.","SLA documentation, uptime monitoring dashboard, DR test records",Infrastructure,Implemented,System unavailability
C1.1,Data Classification,"Sensitive and confidential data must be classified and handled per the data classification policy.","Data classification policy, data inventory, retention schedule",Compliance,In Progress,Data retention violation
CC5.1,Risk Assessment,"Annual risk assessments must identify, evaluate, and document risks to information assets.","Risk register, risk assessment reports, treatment plans",CISO,Implemented,Compliance gap
